ag,mod,predictedDurations,overtime,durations,actual_time,pmTechs,techType,server,batch,agRouting
FL_S_HOLLYWOOD_E,TRUE,FALSE,0,100,0,TRUE,IEFS,fl_s_hollywood_e_ist,101,TRUE
FL_S_PALM_SOUTH_E,TRUE,FALSE,0,100,0,TRUE,IEFS,fl_s_palm_south_e_ist,101,TRUE
MO_SPRINGFIELD_E,FALSE,FALSE,0,100,0,TRUE,IEFS,mo_springfield_e_ist,101,TRUE
NC_CHARLOTTE_GASTN_E,TRUE,FALSE,0,100,0,TRUE,IEFS,nc_charlotte_gastn_e_ist,101,TRUE
NC_RALEIGH_WEST_E,TRUE,FALSE,0,100,0,TRUE,IEFS,nc_raleigh_west_e_ist,101,TRUE
TX_AUST_NORTHEAST_E,FALSE,FALSE,0,100,0,TRUE,IEFS,tx_aust_northeast_e_ist,101,TRUE
TX_AUST_SOUTH_E,FALSE,FALSE,0,100,0,TRUE,IEFS,tx_aust_south_e_ist,101,TRUE
TX_FTWO_MIDCITIES_E,FALSE,FALSE,0,100,0,TRUE,IEFS,tx_ftwo_midcities_e_ist,101,TRUE
TX_FTWO_NORTH_E,FALSE,FALSE,0,100,0,TRUE,IEFS,tx_ftwo_north_e_ist,101,TRUE
TX_MIDLAND_ODESSA_E,FALSE,FALSE,0,100,0,TRUE,IEFS,tx_midland_odessa_e_ist,101,TRUE
CA_LA_METRO_EAST_T,TRUE,FALSE,0,100,0,FALSE,TFS,ca_la_metro_east_t_ist,102,TRUE
CA_OAKLAND_T,TRUE,FALSE,0,100,0,FALSE,TFS,ca_oakland_t_ist,102,TRUE
CA_SAN_FRANCISCO_T,TRUE,FALSE,0,100,0,FALSE,TFS,ca_san_francisco_t_ist,102,TRUE
CA_SAN_JOSE_T,TRUE,FALSE,0,100,0,FALSE,TFS,ca_san_jose_t_ist,102,TRUE
CA_WEST_BAY_T,TRUE,FALSE,0,100,0,FALSE,TFS,ca_west_bay_t_ist,102,TRUE
TX_LUBBOCK_E,FALSE,FALSE,0,100,0,TRUE,IEFS,tx_lubbock_e_ist,101,TRUE
TX_N_HOU_CHARLES_E,FALSE,FALSE,0,100,0,TRUE,IEFS,tx_n_hou_charles_e_ist,101,TRUE
TX_N_HOU_KEMPWOOD_E,FALSE,FALSE,0,100,0,TRUE,IEFS,tx_n_hou_kempwood_e_ist,101,TRUE
TX_SNAN_SOUTHEAST_E,FALSE,FALSE,0,100,0,TRUE,IEFS,tx_snan_southeast_e_ist,101,TRUE
TX_SNAN_SOUTHWEST_E,FALSE,FALSE,0,100,0,TRUE,IEFS,tx_snan_southwest_e_ist,101,TRUE
MO_STLS_CENTRAL_E,FALSE,FALSE,0,100,0,TRUE,IEFS,mo_stls_central_e_ist,101,TRUE
MO_STLS_NORTH_E,TRUE,FALSE,0,100,0,TRUE,IEFS,mo_stls_north_e_ist,101,TRUE
NC_CHARLOTTE_E,TRUE,FALSE,0,100,0,TRUE,IEFS,nc_charlotte_e_ist,101,TRUE
NC_RALEIGH_CENTRAL_E,TRUE,FALSE,0,100,0,TRUE,IEFS,nc_raleigh_central_e_ist,101,TRUE
TX_AUST_NORTHWEST_E,FALSE,FALSE,0,100,0,TRUE,IEFS,tx_aust_northwest_e_ist,101,TRUE
TX_DLLS_CENTRAL_E,FALSE,FALSE,0,100,0,TRUE,IEFS,tx_dlls_central_e_ist,101,TRUE
TX_DLLS_NORTHWEST_E,FALSE,FALSE,0,100,0,TRUE,IEFS,tx_dlls_northwest_e_ist,101,TRUE
TX_DLLS_STH_CENTRL_E,FALSE,FALSE,0,100,0,TRUE,IEFS,tx_dlls_sth_centrl_e_ist,101,TRUE
TX_EL_PASO_E,FALSE,FALSE,0,100,0,TRUE,IEFS,tx_el_paso_e_ist,101,TRUE
TX_FTWO_SOUTH_E,FALSE,FALSE,0,100,0,TRUE,IEFS,tx_ftwo_south_e_ist,101,TRUE
TX_FTWO_SOUTHEAST_E,FALSE,FALSE,0,100,0,TRUE,IEFS,tx_ftwo_southeast_e_ist,101,TRUE
